Soil_moisture,Soil_humidity,rainfall,Temperature,Vegetation,Soil_type,Status
54,70,202.9355362,22,Grass,Loam Soil,1
12,40,226.6555374,20,Grass,Loam Soil,0
34,35,263.9642476,26,Grass,Loam Soil,1
7,44,242.8640342,44,Grass,Loam Soil,0
50,23,262.7173405,38,Grass,Loam Soil,0
4,52,251.0549998,26,Grass,Loam Soil,1
15,58,271.3248604,34,Grass,Loam Soil,1
45,43,241.9741949,30,Grass,Loam Soil,1
47,42,230.4462359,4,Grass,Loam Soil,0
19,22,221.2091958,41,Grass,Loam Soil,1
63,65,264.6148697,44,Grass,Loam Soil,1
88,41,250.0832336,34,Grass,Loam Soil,1
39,70,284.4364567,20,Grass,Loam Soil,1
65,44,185.2773389,43,Grass,Loam Soil,0
50,50,209.5869708,27,Grass,Loam Soil,1
39,48,231.0863347,22,Grass,Loam Soil,1
18,44,276.6552459,33,Grass,Loam Soil,1
66,35,206.2611855,43,Grass,Loam Soil,1
68,59,224.5550169,25,Grass,Loam Soil,1
20,53,291.2986618,36,Grass,Loam Soil,1
40,35,185.4974732,17,Grass,Loam Soil,1
2,64,231.3843163,34,Grass,Loam Soil,0
22,32,213.3560921,35,Grass,Loam Soil,0
1,70,233.1075816,19,Grass,Loam Soil,1
5,27,224.0581164,23,Grass,Loam Soil,1
10,30,257.0038865,28,Grass,Loam Soil,1
25,66,271.3586137,13,Grass,Loam Soil,1
20,61,260.2634026,45,Grass,Loam Soil,1
40,39,240.0810647,29,Grass,Loam Soil,0
26,70,197.9791215,13,Grass,Loam Soil,1
71,59,272.2017204,6,Grass,Loam Soil,0
37,24,200.0882787,21,Grass,Loam Soil,1
76,47,224.6757231,12,Grass,Loam Soil,0
44,45,270.4417274,24,Grass,Loam Soil,1
24,47,233.1321372,8,Grass,Loam Soil,0
70,63,193.3473987,6,Grass,Loam Soil,0
32,28,272.2999056,23,Grass,Loam Soil,0
44,39,285.2493645,24,Grass,Loam Soil,1
4,49,298.4018471,45,Grass,Loam Soil,1
63,48,257.0343554,40,Grass,Loam Soil,1
49,55,248.7183228,29,Grass,Loam Soil,1
26,70,209.9001977,32,Grass,Loam Soil,1
58,38,200.834898,32,Grass,Loam Soil,0
45,69,298.5601175,0,Grass,Loam Soil,0
37,32,265.5355937,7,Grass,Loam Soil,1
16,57,183.6793207,44,Grass,Loam Soil,0
75,31,196.9560008,2,Grass,Loam Soil,0
82,62,233.0453455,16,Grass,Loam Soil,0
72,21,210.8142087,28,Grass,Loam Soil,0
53,51,253.7202781,1,Grass,Loam Soil,0
13,48,219.9048349,24,Grass,Loam Soil,0
41,34,208.5810155,18,Grass,Loam Soil,1
